"gene","Atha_WT_Col_0_sl_FLT_Rep1_G1S1","Atha_WT_Col_0_sl_FLT_Rep2_G1S2","Atha_WT_Col_0_sl_FLT_Rep3_G1S3","Atha_WT_Col_0_sl_GC_Rep1_G2S1","Atha_WT_Col_0_sl_GC_Rep2_G2S2","Atha_WT_Col_0_sl_GC_Rep3_G2S3"
"AT1G01010",8.23812593346,8.9701323147962,8.78657493959884,9.56622235820371,8.82688012610539,9.364518212398
"AT1G01020",6.98037022780805,7.4010790303318,6.96840496723146,6.49310959067877,6.93224760076934,6.89947861845035
"AT1G01030",7.21553167183987,7.78385900105954,7.55301594804593,7.04863393916823,7.4426426556337,7.34674084999029
"AT1G01040",10.0236931731154,9.1678408568066,9.34205920916933,9.82716924762111,9.64627702558124,9.77112358437278
"AT1G01046",4.10933618732065,4.23113191742482,4.02338838830868,3.57700211112972,3.57700211112972,3.57700211112972
"AT1G01050",10.2410757400652,10.3194940508918,10.1689316274407,10.2205629400459,10.1328253975987,10.4432907612167
"AT1G01060",10.6590983606241,10.8489349456896,10.693196233653,10.2246560286507,10.4054061405003,10.2314006436826
"AT1G01070",6.28380008603767,6.60399174078406,6.92765648119517,7.80959471138365,7.89002698405072,8.15096719900949
"AT1G01080",9.59594108654368,10.0371489609832,10.1818640956442,9.2257576892071,9.48222734925317,9.5275341093344
"AT1G01090",11.1698838359438,11.147638116506,11.2202798395672,10.4557939318112,11.2247043790426,10.874001214615
"AT1G01100",11.9618841105009,11.5555081876202,11.5444859140144,12.1789920783241,11.2279118513182,11.4802117835286
"AT1G01110",7.75139177502207,7.80822940076517,7.91941555925368,7.75766168601605,7.76571272264369,7.87881651762889
"AT1G01120",12.1849994016049,12.6442144303232,12.5551089384036,12.6755166853223,12.9852062624398,12.7987007298605
"AT1G01130",6.04620360915375,5.55598294631637,5.11851499591508,5.39023497415647,5.41711255317649,5.43752457467208
"AT1G01140",9.99957519512312,9.48426690371973,9.43623163631281,10.0278980154777,9.55215188664506,9.87343183177869
"AT1G01150",4.41178481730045,4.23113191742482,4.56001212259823,4.79598201554376,4.44375644751271,4.3216722555771
"AT1G01160",9.22394270958434,9.20188029926169,9.19100137365322,9.41201263212348,9.24946760605985,9.47905656476323
